Id,City,Total
3054185,CITY OF RANCHO SANTA MARGARITA,80.95%
3059047,CITY OF IRVINE,74.32%
3063353,CITY OF ORANGE,80.00%
3059015,CITY OF IRVINE,64.36%
3047287,CITY OF MISSION VIEJO,56.62%
3063023,CITY OF ORANGE,62.50%
3072091,UNINC - EAST TUSTIN,51.61%
3059129,CITY OF IRVINE,53.66%
3071350,CITY OF TUSTIN,49.50%
3072256,UNINC - EAST TUSTIN,51.28%
3056290,CITY OF LAKE FOREST WARD 5,49.41%
3059141,CITY OF IRVINE,44.02%
3038374,CITY OF LAGUNA HILLS,42.45%
3059058,CITY OF IRVINE,41.15%
3059146,CITY OF IRVINE,43.37%
3059021,CITY OF IRVINE,38.78%
3072255,UNINC - EAST TUSTIN,40.17%
3038305,CITY OF LAGUNA HILLS,41.20%
3038311,CITY OF LAGUNA HILLS,35.75%
3059034,CITY OF IRVINE,43.09%
3071284,CITY OF TUSTIN,35.84%
3047284,CITY OF MISSION VIEJO,34.25%
3056096,CITY OF LAKE FOREST WARD 5,30.90%
3059033,CITY OF IRVINE,33.98%
3056101,CITY OF LAKE FOREST WARD 2,31.25%
3071240,CITY OF TUSTIN,33.68%
3072096,UNINC - EAST TUSTIN,29.75%
3072197,UNINC - EAST TUSTIN,27.52%
3059149,CITY OF IRVINE,26.72%
3059136,CITY OF IRVINE,25.11%
3071378,CITY OF TUSTIN,25.11%
3047268,CITY OF MISSION VIEJO,23.28%
3059016,CITY OF IRVINE,25.04%
3047204,CITY OF MISSION VIEJO,22.71%
3059018,CITY OF IRVINE,22.54%
3059092,CITY OF IRVINE,22.34%
3063024,CITY OF ORANGE,19.92%
3059144,CITY OF IRVINE,22.70%
3059169,CITY OF IRVINE,21.59%
3038310,CITY OF LAGUNA HILLS,21.03%
3059103,CITY OF IRVINE,18.13%
3059082,CITY OF IRVINE,18.89%
3002079,CITY OF ANAHEIM COUNCIL DISTRICT 6,17.16%
3059097,CITY OF IRVINE,16.41%
3059027,CITY OF IRVINE,13.85%
3002047,CITY OF ANAHEIM COUNCIL DISTRICT 6,15.87%
3059054,CITY OF IRVINE,12.96%
3059072,CITY OF IRVINE,11.45%
3054101,CITY OF RANCHO SANTA MARGARITA,9.65%
3054112,CITY OF RANCHO SANTA MARGARITA,9.64%
3071121,CITY OF TUSTIN,9.40%
3063011,CITY OF ORANGE,9.14%
3059148,CITY OF IRVINE,8.08%
3059168,CITY OF IRVINE,7.13%
3025385,CITY OF LAGUNA WOODS,7.67%
3059090,CITY OF IRVINE,6.68%
3063262,CITY OF ORANGE,7.84%
3071262,CITY OF TUSTIN,6.55%
3059124,CITY OF IRVINE,6.32%
3059026,CITY OF IRVINE,6.96%
3059075,CITY OF IRVINE,6.21%
3059100,CITY OF IRVINE,6.64%
3059022,CITY OF IRVINE,5.28%
3047294,CITY OF MISSION VIEJO,5.62%
3059038,CITY OF IRVINE,5.05%
3047339,CITY OF MISSION VIEJO,4.78%
3047253,CITY OF MISSION VIEJO,4.06%
3059152,CITY OF IRVINE,4.08%
3059020,CITY OF IRVINE,2.99%
3002017,CITY OF ANAHEIM COUNCIL DISTRICT 6,4.46%
3071238,CITY OF TUSTIN,3.13%
3059211,CITY OF IRVINE,2.72%
3071370,CITY OF TUSTIN,2.41%
3071245,CITY OF TUSTIN,2.29%
3059041,CITY OF IRVINE,2.62%
3047295,CITY OF MISSION VIEJO,2.90%
3059088,CITY OF IRVINE,2.20%
3059036,CITY OF IRVINE,1.65%
3071239,CITY OF TUSTIN,1.57%
3059118,CITY OF IRVINE,1.61%
3059043,CITY OF IRVINE,1.34%
3038314,CITY OF LAGUNA HILLS,1.02%
3072272,UNINC - EAST TUSTIN,1.33%
3038384,CITY OF LAGUNA HILLS,0.96%
3050077,UNINC - TRABUCO,0.58%
3059007,CITY OF IRVINE,0.51%
3059174,CITY OF IRVINE,0.31%
3047296,CITY OF MISSION VIEJO,0.31%
3059176,CITY OF IRVINE,0.53%
3071264,CITY OF TUSTIN,0.22%
3059106,CITY OF IRVINE,0.20%
3071357,CITY OF TUSTIN,0.39%
3056073,CITY OF LAKE FOREST WARD 3,0.35%
3059009,CITY OF IRVINE,0.14%
3025234,CITY OF LAGUNA WOODS,0.13%
3059151,CITY OF IRVINE,0.11%
3059131,CITY OF IRVINE,0.11%
3002024,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002036,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002037,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002038,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002040,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002048,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002049,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002051,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002060,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002069,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002071,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002072,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002081,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002082,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002094,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002345,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3025230,CITY OF LAGUNA WOODS,0.00%
3025231,CITY OF LAGUNA WOODS,0.00%
3025237,CITY OF LAGUNA WOODS,0.00%
3025282,CITY OF LAGUNA WOODS,0.00%
3025371,CITY OF LAGUNA WOODS,0.00%
3025377,CITY OF LAGUNA WOODS,0.00%
3025382,CITY OF LAGUNA WOODS,0.00%
3025391,CITY OF LAGUNA WOODS,0.00%
3038082,CITY OF LAGUNA HILLS,0.00%
3038083,CITY OF LAGUNA HILLS,0.00%
3038084,CITY OF LAGUNA HILLS,0.00%
3038236,CITY OF LAGUNA HILLS,0.00%
3038292,CITY OF LAGUNA HILLS,0.00%
3038293,CITY OF LAGUNA HILLS,0.00%
3038301,CITY OF LAGUNA HILLS,0.00%
3038302,CITY OF LAGUNA HILLS,0.00%
3038312,CITY OF LAGUNA HILLS,0.00%
3038317,CITY OF LAGUNA HILLS,0.00%
3038375,CITY OF LAGUNA HILLS,0.00%
3038376,CITY OF LAGUNA HILLS,0.00%
3038377,CITY OF LAGUNA HILLS,0.00%
3038378,CITY OF LAGUNA HILLS,0.00%
3038380,CITY OF LAGUNA HILLS,0.00%
3047201,CITY OF MISSION VIEJO,0.00%
3047203,CITY OF MISSION VIEJO,0.00%
3047247,CITY OF MISSION VIEJO,0.00%
3047248,CITY OF MISSION VIEJO,0.00%
3047251,CITY OF MISSION VIEJO,0.00%
3047252,CITY OF MISSION VIEJO,0.00%
3047256,CITY OF MISSION VIEJO,0.00%
3047258,CITY OF MISSION VIEJO,0.00%
3047259,CITY OF MISSION VIEJO,0.00%
3047260,CITY OF MISSION VIEJO,0.00%
3047262,CITY OF MISSION VIEJO,0.00%
3047265,CITY OF MISSION VIEJO,0.00%
3047267,CITY OF MISSION VIEJO,0.00%
3047271,CITY OF MISSION VIEJO,0.00%
3047276,CITY OF MISSION VIEJO,0.00%
3047278,CITY OF MISSION VIEJO,0.00%
3047279,CITY OF MISSION VIEJO,0.00%
3047283,CITY OF MISSION VIEJO,0.00%
3047285,CITY OF MISSION VIEJO,0.00%
3047288,CITY OF MISSION VIEJO,0.00%
3047289,CITY OF MISSION VIEJO,0.00%
3047290,CITY OF MISSION VIEJO,0.00%
3047293,CITY OF MISSION VIEJO,0.00%
3047301,CITY OF MISSION VIEJO,0.00%
3047305,CITY OF MISSION VIEJO,0.00%
3047316,CITY OF MISSION VIEJO,0.00%
3047317,CITY OF MISSION VIEJO,0.00%
3047336,CITY OF MISSION VIEJO,0.00%
3047344,CITY OF MISSION VIEJO,0.00%
3047346,CITY OF MISSION VIEJO,0.00%
3050070,UNINC - TRABUCO,0.00%
3050076,UNINC - TRABUCO,0.00%
3050085,UNINC - TRABUCO,0.00%
3050086,UNINC - TRABUCO,0.00%
3050091,UNINC - TRABUCO,0.00%
3050092,UNINC - TRABUCO,0.00%
3050093,UNINC - TRABUCO,0.00%
3050094,UNINC - TRABUCO,0.00%
3050096,UNINC - TRABUCO,0.00%
3050108,UNINC - TRABUCO,0.00%
3050110,UNINC - TRABUCO,0.00%
3050113,UNINC - TRABUCO,0.00%
3054102,CITY OF RANCHO SANTA MARGARITA,0.00%
3054103,CITY OF RANCHO SANTA MARGARITA,0.00%
3054104,CITY OF RANCHO SANTA MARGARITA,0.00%
3054107,CITY OF RANCHO SANTA MARGARITA,0.00%
3054108,CITY OF RANCHO SANTA MARGARITA,0.00%
3054109,CITY OF RANCHO SANTA MARGARITA,0.00%
3054111,CITY OF RANCHO SANTA MARGARITA,0.00%
3054113,CITY OF RANCHO SANTA MARGARITA,0.00%
3054114,CITY OF RANCHO SANTA MARGARITA,0.00%
3054120,CITY OF RANCHO SANTA MARGARITA,0.00%
3054121,CITY OF RANCHO SANTA MARGARITA,0.00%
3054122,CITY OF RANCHO SANTA MARGARITA,0.00%
3054123,CITY OF RANCHO SANTA MARGARITA,0.00%
3054141,CITY OF RANCHO SANTA MARGARITA,0.00%
3054142,CITY OF RANCHO SANTA MARGARITA,0.00%
3054144,CITY OF RANCHO SANTA MARGARITA,0.00%
3054161,CITY OF RANCHO SANTA MARGARITA,0.00%
3054180,CITY OF RANCHO SANTA MARGARITA,0.00%
3054181,CITY OF RANCHO SANTA MARGARITA,0.00%
3054183,CITY OF RANCHO SANTA MARGARITA,0.00%
3054184,CITY OF RANCHO SANTA MARGARITA,0.00%
3056065,CITY OF LAKE FOREST WARD 2,0.00%
3056066,CITY OF LAKE FOREST WARD 3,0.00%
3056070,CITY OF LAKE FOREST WARD 2,0.00%
3056071,CITY OF LAKE FOREST WARD 3,0.00%
3056078,CITY OF LAKE FOREST WARD 4,0.00%
3056079,CITY OF LAKE FOREST WARD 4,0.00%
3056081,CITY OF LAKE FOREST WARD 5,0.00%
3056090,CITY OF LAKE FOREST WARD 2,0.00%
3056093,CITY OF LAKE FOREST WARD 4,0.00%
3056094,CITY OF LAKE FOREST WARD 4,0.00%
3056095,CITY OF LAKE FOREST WARD 4,0.00%
3056102,CITY OF LAKE FOREST WARD 5,0.00%
3056109,CITY OF LAKE FOREST WARD 2,0.00%
3056277,CITY OF LAKE FOREST WARD 2,0.00%
3056278,CITY OF LAKE FOREST WARD 1,0.00%
3056279,CITY OF LAKE FOREST WARD 1,0.00%
3056282,CITY OF LAKE FOREST WARD 1,0.00%
3056286,CITY OF LAKE FOREST WARD 1,0.00%
3056287,CITY OF LAKE FOREST WARD 1,0.00%
3056288,CITY OF LAKE FOREST WARD 1,0.00%
3056292,CITY OF LAKE FOREST WARD 3,0.00%
3056295,CITY OF LAKE FOREST WARD 3,0.00%
3056296,CITY OF LAKE FOREST WARD 4,0.00%
3056301,CITY OF LAKE FOREST WARD 5,0.00%
3056303,CITY OF LAKE FOREST WARD 1,0.00%
3056304,CITY OF LAKE FOREST WARD 1,0.00%
3056308,CITY OF LAKE FOREST WARD 4,0.00%
3056315,CITY OF LAKE FOREST WARD 4,0.00%
3056382,CITY OF LAKE FOREST WARD 5,0.00%
3059006,CITY OF IRVINE,0.00%
3059019,CITY OF IRVINE,0.00%
3059044,CITY OF IRVINE,0.00%
3059045,CITY OF IRVINE,0.00%
3059057,CITY OF IRVINE,0.00%
3059062,CITY OF IRVINE,0.00%
3059074,CITY OF IRVINE,0.00%
3059099,CITY OF IRVINE,0.00%
3059108,CITY OF IRVINE,0.00%
3059113,CITY OF IRVINE,0.00%
3059127,CITY OF IRVINE,0.00%
3059132,CITY OF IRVINE,0.00%
3059133,CITY OF IRVINE,0.00%
3059137,CITY OF IRVINE,0.00%
3059150,CITY OF IRVINE,0.00%
3059153,CITY OF IRVINE,0.00%
3059158,CITY OF IRVINE,0.00%
3059163,CITY OF IRVINE,0.00%
3059164,CITY OF IRVINE,0.00%
3059170,CITY OF IRVINE,0.00%
3059172,CITY OF IRVINE,0.00%
3059175,CITY OF IRVINE,0.00%
3059205,CITY OF IRVINE,0.00%
3059206,CITY OF IRVINE,0.00%
3059207,CITY OF IRVINE,0.00%
3059208,CITY OF IRVINE,0.00%
3059209,CITY OF IRVINE,0.00%
3063001,CITY OF ORANGE,0.00%
3063010,CITY OF ORANGE,0.00%
3063018,CITY OF ORANGE,0.00%
3063026,CITY OF ORANGE,0.00%
3063028,CITY OF ORANGE,0.00%
3063029,CITY OF ORANGE,0.00%
3063031,CITY OF ORANGE,0.00%
3063041,CITY OF ORANGE,0.00%
3063052,CITY OF ORANGE,0.00%
3063056,CITY OF ORANGE,0.00%
3063061,CITY OF ORANGE,0.00%
3063066,CITY OF ORANGE,0.00%
3063069,CITY OF ORANGE,0.00%
3063077,CITY OF ORANGE,0.00%
3063079,CITY OF ORANGE,0.00%
3063080,CITY OF ORANGE,0.00%
3063088,CITY OF ORANGE,0.00%
3063097,CITY OF ORANGE,0.00%
3063202,CITY OF ORANGE,0.00%
3063204,CITY OF ORANGE,0.00%
3063205,CITY OF ORANGE,0.00%
3063206,CITY OF ORANGE,0.00%
3063207,CITY OF ORANGE,0.00%
3063208,CITY OF ORANGE,0.00%
3063210,CITY OF ORANGE,0.00%
3063211,CITY OF ORANGE,0.00%
3063212,CITY OF ORANGE,0.00%
3063213,CITY OF ORANGE,0.00%
3063214,CITY OF ORANGE,0.00%
3063215,CITY OF ORANGE,0.00%
3063216,CITY OF ORANGE,0.00%
3063219,CITY OF ORANGE,0.00%
3063220,CITY OF ORANGE,0.00%
3063221,CITY OF ORANGE,0.00%
3063222,CITY OF ORANGE,0.00%
3063223,CITY OF ORANGE,0.00%
3063224,CITY OF ORANGE,0.00%
3063226,CITY OF ORANGE,0.00%
3063227,CITY OF ORANGE,0.00%
3063228,CITY OF ORANGE,0.00%
3063231,CITY OF ORANGE,0.00%
3063235,CITY OF ORANGE,0.00%
3063236,CITY OF ORANGE,0.00%
3063238,CITY OF ORANGE,0.00%
3063251,CITY OF ORANGE,0.00%
3063252,CITY OF ORANGE,0.00%
3063255,CITY OF ORANGE,0.00%
3063347,CITY OF ORANGE,0.00%
3063351,CITY OF ORANGE,0.00%
3063352,CITY OF ORANGE,0.00%
3063358,CITY OF ORANGE,0.00%
3063361,CITY OF ORANGE,0.00%
3063362,CITY OF ORANGE,0.00%
3063377,CITY OF ORANGE,0.00%
3063383,CITY OF ORANGE,0.00%
3063384,CITY OF ORANGE,0.00%
3063386,CITY OF ORANGE,0.00%
3063391,CITY OF ORANGE,0.00%
3065060,UNINC - EAST ORANGE,0.00%
3065081,UNINC - EAST ORANGE,0.00%
3065087,UNINC - EAST ORANGE,0.00%
3065091,UNINC - EAST ORANGE,0.00%
3069106,UNINC - ORTEGA,0.00%
3069122,UNINC - ORTEGA,0.00%
3070087,UNINC - SILVERADO,0.00%
3070089,UNINC - SILVERADO,0.00%
3070112,UNINC - SILVERADO,0.00%
3070117,UNINC - SILVERADO,0.00%
3070118,UNINC - SILVERADO,0.00%
3071120,CITY OF TUSTIN,0.00%
3071231,CITY OF TUSTIN,0.00%
3071232,CITY OF TUSTIN,0.00%
3071247,CITY OF TUSTIN,0.00%
3071256,CITY OF TUSTIN,0.00%
3071258,CITY OF TUSTIN,0.00%
3071259,CITY OF TUSTIN,0.00%
3071266,CITY OF TUSTIN,0.00%
3071270,CITY OF TUSTIN,0.00%
3071283,CITY OF TUSTIN,0.00%
3071362,CITY OF TUSTIN,0.00%
3071364,CITY OF TUSTIN,0.00%
3071368,CITY OF TUSTIN,0.00%
3071380,CITY OF TUSTIN,0.00%
3072081,UNINC - EAST TUSTIN,0.00%
3072093,UNINC - EAST TUSTIN,0.00%
3072098,UNINC - EAST TUSTIN,0.00%
3072100,UNINC - EAST TUSTIN,0.00%
3072120,UNINC - EAST TUSTIN,0.00%
3072121,UNINC - EAST TUSTIN,0.00%
3072122,UNINC - EAST TUSTIN,0.00%
3072199,UNINC - EAST TUSTIN,0.00%
3072254,UNINC - EAST TUSTIN,0.00%
3072269,UNINC - EAST TUSTIN,0.00%
3072312,UNINC - EAST TUSTIN,0.00%
3072314,UNINC - EAST TUSTIN,0.00%
3072321,UNINC - EAST TUSTIN,0.00%
3075110,CITY OF VILLA PARK,0.00%
3075113,CITY OF VILLA PARK,0.00%
3075114,CITY OF VILLA PARK,0.00%
3075116,CITY OF VILLA PARK,0.00%
3075117,CITY OF VILLA PARK,0.00%
3075120,CITY OF VILLA PARK,0.00%
3075121,CITY OF VILLA PARK,0.00%
3075122,CITY OF VILLA PARK,0.00%
3002011,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%
3002017,CITY OF ANAHEIM COUNCIL DISTRICT 6,0.00%